ASY,PCB,Family,Top Priority 1,Top Priority 2,Top Priority 3,Bot Priority 1,Bot Priority 2,Bot Priority 3,# Circuits
PN-125371,PN-34461,POINT-40,SM8,,,SM8,,,4
PN-125802,PN-103436,FLEX-50,SM1,,,SM1,,,6
PN-125842,PN-125843,FLEX-51,SM8,,,SM8,,,12
PN-126309,PN-109648,CMX-10,SM5,,,SM1,,,2
PN-126463,PN-126461,POINT-42,SM8,,,SM8,,,9
PN-126464,PN-126461,POINT-42,SM8,,,SM8,,,9
PN-126465,PN-126461,POINT-42,SM8,,,SM8,,,9
PN-128027,PN-128024,CMX-14,SM2,,,SM2,,,2
PN-128028,PN-128024,CMX-14,SM2,,,SM2,,,2
PN-128133,PN-98681,TB3,SM8,,,SM1,,,6
PN-128326,PN-128325,CMX-3,SM2,,,SM2,,,10
PN-128576,PN-128575,CMX-1,SM4,,,SM4,,,2
PN-128663,PN-23300,POINT-15,SM8,,,SM8,,,4
PN-129936,PN-27277,FLEX-52,SM8,,,SM4,,,4
PN-129939,PN-129940,POINT-78,SM5,,,SM5,,,9
PN-130518,PN-129940,POINT-78,SM5,,,SM5,,,9
PN-130519,PN-129940,POINT-78,SM5,,,SM5,,,9
PN-130520,PN-129940,POINT-78,SM5,,,SM5,,,9
PN-131580,92409292  REV 2,POINT-5,SM8,,,SM8,,,9
PN-134596,PN-134597,FLEX-60,SM8,,,SM4,,,6
PN-134602,PN-134601,FLEX-37,SM8,,,SM4,,,6
PN-134609,PN-134608,FLEX-65,SM5,,,SM5,,,6
PN-134610,92424691,FLEX-43,SM8,,,SM8,,,6
PN-134612,92424891,FLEX-43,SM8,,,SM8,,,6
PN-135583,PN-137181,FLEX-22,SM2,,,SM2,,,12
PN-135584,PN-137181,FLEX-22,SM2,,,SM2,,,12
PN-136063,PN-136062,CMX-25,SM5,,,SM5,,,2
PN-136065,92427891,POINT-12,SM8,,,SM4,,,6
PN-136067,92430891,POINT-12,SM8,,,SM4,,,6
PN-136145,92427091,POINT-20,SM4,,,SM4,,,6
PN-136149,92429891,POINT-75,SM8,,,SM8,,,10
PN-138996,PN-138993,CLX-5,,,,,,,2
PN-140051,PN-117175,CLX-1,,,,,,,36
PN-140528,PN-103436,FLEX-50,SM1,,,SM1,,,6
PN-143449,PN-143443,FLEX-49,SM7,,,SM7,,,9
PN-143813,PN-147706,FLEX-51,SM8,,,SM1,,,12
PN-143815,PN-147707,FLEX-51,SM8,,,SM8,,,9
PN-144439,PN-147707,FLEX-51,,,,SM8,,,9
PN-145029,PN-15621,POINT-34,SM5,,,SM5,,,9
PN-147905,PN-147904,POINT-51,SM5,,,SM5,,,9
PN-147906,PN-147904,POINT-51,SM5,,,SM5,,,9
PN-147907,PN-147904,POINT-51,SM5,,,SM5,,,9
PN-147909,PN-147908,POINT-53,SM2,,,SM2,,,9
PN-147910,PN-147908,POINT-53,SM2,,,SM2,,,9
PN-147911,PN-147908,POINT-53,SM2,,,SM2,,,9
PN-148214,PN-144308,NEO-6,SM8,,,,,,20
PN-14904,PN-77186,POINT-76,,,,SM8,,,6
PN-15133,PN-15131,PVC-3,SM1,,,SM4,,,6
PN-151726,PN-151729,POINT-33,SM4,,,SM4,,,9
PN-152022,PN-152021,POINT-60,SM5,,,SM5,,,9
PN-152023,PN-152021,POINT-60,SM5,,,SM5,,,9
PN-152024,PN-152021,POINT-60,SM5,,,SM5,,,9
PN-152462,PN-152461,OPT-20,SM5,,,SM5,,,3
PN-15629,PN-77187,POINT-76,,,,SM8,,,6
PN-15630,PN-77190,POINT-76,,,,SM8,,,6
PN-156506,PN-180465,MLX-35,SM1,,,SM1,,,2
PN-156508,40865-055-05,MLX-36,SM1,,,SM1,,,4
PN-156509,40865-052-05,MLX-36,SM1,,,SM1,,,4
PN-156511,40865-058-04,MLX-36,SM1,,,SM1,,,4
PN-156513,40865-067-04,MLX-35,SM1,,,SM1,,,2
PN-156515,40865-073-02,MLX-35,SM1,,,SM1,,,2
PN-156836,40855-077-04,MLX-28,SM5,,,SM4,,,8
PN-156837,40855-077-04,MLX-28,SM5,,,SM4,,,8
PN-156838,40855-071-08,MLX-25,SM1,,,SM1,,,8
PN-156840,40855-071-08,MLX-25,SM1,,,SM1,,,8
PN-156843,40855-193-03,MLX-19,SM8,,,SM8,,,4
PN-156845,40855-175-08,MLX-19,SM8,,,SM8,,,4
PN-156846,40855-178-07,MLX-19,SM8,,,SM8,,,4
PN-156847,40855-068-03,MLX-19,SM8,,,SM8,,,4
PN-156849,40855-190-04,MLX-19,SM8,,,SM8,,,4
PN-156850,40855-086-04,MLX-28,SM5,,,SM4,,,4
PN-156851,40855-077-04,MLX-28,SM5,,,SM4,,,8
